DATE,BEDY,BELR,BEPC,BESP,BESR,BEYM,DEDY,DELR,DEPC,DEPR,DESP,DESR,DEYG,DEYM,DKCP,DKLR,DKPR,DKSP,DKSR,DKYM,ESLR,ESPC,ESSP,ESSR,ESYM,FRDY,FRLR,FRPC,FRSP,FRSR,FRYG,IRLR,IRPC,IRSP,IRSR,IRYM,ITDY,ITLR,ITPC,ITSP,ITSR,ITYG,NLLR,NLPC,NLPR,NLSP,NLSR,NLYG,UKDY,UKLR,UKPC,UKPR,UKSP,UKSR,UKYG,USLR
197001,4,7.7,33.2,86.67,8.28,0.75,,7.83,49.93,7.57,107.3,9.54,0.7,0.8,25.97,10.27,10.27,14,,61.4,,8.65,0.96,,0.57,3.83,8.78,0.25,97.27,9.92,0.65,,12.88,0.31,,0.49,3.84,7.06,10.47,183.83,,0.64,7.99,39.4,,0.42,6.18,0.68,3.91,8.61,18,,146.47,7.43,0.73,6.56
197002,4.93,7.79,33.49,84.33,8.02,0.77,,8.4,50.37,8.17,97.53,9.89,0.73,0.82,26.37,10.45,10.64,14,,66.2,,8.7,0.85,,0.59,4.24,8.6,0.25,90.2,9.19,0.67,,13.41,0.28,,0.5,3.8,7.77,10.6,179.07,,0.64,8.13,39.97,,0.39,6.18,0.69,4.61,8.89,18.43,,128.64,6.83,0.75,6.82
197003,5.17,7.94,33.72,85,7.82,0.78,,8.53,50.5,8.43,92.1,9.37,0.73,0.81,27.1,10.48,11.79,13,,67.5,,8.97,0.84,,0.59,4.49,8.44,0.25,88.3,8.67,0.68,,13.63,0.28,,0.51,4.21,8.09,10.67,165.73,,0.65,8.02,40.43,,0.43,6.18,0.7,4.61,8.5,18.63,,129.18,6.82,0.75,6.65
197004,5.33,7.78,33.88,85.67,7.12,0.78,,8.5,50.93,8.43,87.7,8.83,0.74,0.81,27.47,10.57,10.99,12,,67.5,,9.16,0.83,,0.6,4.49,8.38,0.26,88.77,7.92,0.68,9.86,13.93,0.27,,0.52,4.52,8.01,10.87,154.3,,0.65,7.91,41,,0.4,6.06,0.72,4.4,8.93,19.03,,135.77,6.82,0.76,6.27
197101,4.97,7.5,34.36,93,5.82,0.79,,7.77,52.17,7.93,97.23,7.48,0.73,0.83,27.5,10.81,10.91,12,,66.2,,9.31,0.85,,0.6,4.25,8.38,0.26,91.83,6.38,0.69,9.73,14.16,0.26,7.1,0.52,4.75,7.06,10.97,147.3,6.33,0.65,7.56,41.93,,0.4,5.18,0.72,4.39,8.87,19.53,,135.78,6.7,0.75,5.82
197102,5.03,7.35,34.81,95,4.8,0.76,,8.03,52.93,8.2,96.27,6.44,0.74,0.82,28.17,10.64,11.36,12,,65.5,,9.53,0.85,,0.62,4.43,8.45,0.26,91.83,6.49,0.7,9.33,14.55,0.27,6.03,0.52,4.63,6.99,11.1,135.73,5.6,0.65,7.5,42.97,,0.42,4.05,0.73,3.84,8.57,20.27,,158.2,5.63,0.76,5.88
197103,5.17,7.25,35.27,97.67,4.73,0.8,,8.23,53.37,8.53,93.77,7.6,0.75,0.82,28.53,10.94,10.85,12,,68.2,,9.62,0.9,,0.64,4.85,8.46,0.27,90.7,6.37,0.71,9.27,14.83,0.29,5.72,0.52,3.92,7.12,11.23,128.7,5.59,0.66,7.68,43.53,,0.39,4.34,0.73,3.42,8.12,20.53,,180.1,5.37,0.77,5.75
197104,5.43,7.18,35.7,89.33,4.67,0.8,,7.93,53.83,8.23,86.5,7.07,0.76,0.81,28.97,10.29,10.7,12,,69.6,,9.94,0.93,,0.65,5.32,8.4,0.27,81.83,5.91,0.72,8.62,15.14,0.3,4.77,0.53,4.12,6.82,11.37,121.9,5.51,0.67,7.76,44.33,,0.35,4.25,0.73,3.42,7.4,20.8,,181.65,4.42,0.77,5.52
197201,4.93,7.01,36.16,97,4.08,0.8,,7.43,54.93,7.9,97.73,4.96,0.76,0.83,29.3,10.32,11.02,13,5.31,70.3,,10.11,1.03,,0.69,4.89,8.27,0.27,87.33,5.26,0.72,8.33,15.48,0.31,4.62,0.53,4,6.67,11.5,120.47,5.61,0.68,7.37,45.23,,0.38,3.09,0.75,3.09,7.15,21.1,,205.89,4.34,0.77,5.65
197202,4.03,7.07,36.54,103.67,3.5,0.84,,7.8,55.53,8.27,105.17,4.71,0.77,0.84,29.97,10.4,10.75,15,6.14,73,,10.21,1.14,,0.72,4.33,7.88,0.28,99.73,5.14,0.73,8.92,15.71,0.38,4.74,0.53,3.45,6.47,11.67,125.13,5.02,0.67,7.48,46.4,,0.42,1.94,0.75,2.99,8.26,21.5,,219.48,4.74,0.79,5.66
